interaction_id,source,target,weight,book
1,Addam-Marbrand,Brynden-Tully,3,all
2,Addam-Marbrand,Cersei-Lannister,3,all
3,Addam-Marbrand,Gyles-Rosby,3,all
4,Addam-Marbrand,Jaime-Lannister,14,all
5,Addam-Marbrand,Jalabhar-Xho,3,all
6,Addam-Marbrand,Joffrey-Baratheon,3,all
7,Addam-Marbrand,Kevan-Lannister,3,all
8,Addam-Marbrand,Lyle-Crakehall,4,all
9,Addam-Marbrand,Oberyn-Martell,3,all
10,Addam-Marbrand,Tyrion-Lannister,7,all
11,Addam-Marbrand,Tywin-Lannister,6,all
12,Addam-Marbrand,Varys,4,all
13,Aegon-Frey-(son-of-Stevron),Catelyn-Stark,4,all
14,Aegon-Frey-(son-of-Stevron),Robb-Stark,5,all
15,Aegon-Frey-(son-of-Stevron),Stevron-Frey,3,all
16,Aegon-Frey-(son-of-Stevron),Walder-Frey,6,all
17,Aegon-I-Targaryen,Daenerys-Targaryen,13,all
18,Aegon-I-Targaryen,Eddard-Stark,4,all
19,Aegon-I-Targaryen,Harren-Hoare,4,all
20,Aegon-I-Targaryen,Nan,3,all
21,Aegon-I-Targaryen,Rhaenys-Targaryen,4,all
22,Aegon-I-Targaryen,Stannis-Baratheon,4,all
23,Aegon-I-Targaryen,Torrhen-Stark,3,all
24,Aegon-I-Targaryen,Tyrion-Lannister,3,all
25,Aegon-I-Targaryen,Visenya-Targaryen,3,all
26,Aegon-Targaryen-(son-of-Rhaegar),Daenerys-Targaryen,11,all
27,Aegon-Targaryen-(son-of-Rhaegar),Elia-Martell,7,all
28,Aegon-Targaryen-(son-of-Rhaegar),Franklyn-Flowers,3,all
29,Aegon-Targaryen-(son-of-Rhaegar),Haldon,14,all
30,Aegon-Targaryen-(son-of-Rhaegar),Harry-Strickland,9,all
31,Aegon-Targaryen-(son-of-Rhaegar),Jon-Connington,16,all
32,Aegon-Targaryen-(son-of-Rhaegar),Lemore,10,all
33,Aegon-Targaryen-(son-of-Rhaegar),Rhaegar-Targaryen,12,all
34,Aegon-Targaryen-(son-of-Rhaegar),Rhaenys-Targaryen-(daughter-of-Rhaegar),4,all
35,Aegon-Targaryen-(son-of-Rhaegar),Rolly-Duckfield,11,all
36,Aegon-Targaryen-(son-of-Rhaegar),Tyrion-Lannister,23,all
37,Aegon-Targaryen-(son-of-Rhaegar),Tywin-Lannister,3,all
38,Aegon-Targaryen-(son-of-Rhaegar),Viserys-Targaryen,3,all
39,Aegon-Targaryen-(son-of-Rhaegar),Yandry,6,all
40,Aegon-Targaryen-(son-of-Rhaegar),Ysilla,4,all
41,Aegon-V-Targaryen,Aemon-Targaryen-(Maester-Aemon),6,all
42,Aemon-Targaryen-(Dragonknight),Jaime-Lannister,3,all
43,Aemon-Targaryen-(Maester-Aemon),Alleras,4,all
44,Aemon-Targaryen-(Maester-Aemon),Alliser-Thorne,7,all
45,Aemon-Targaryen-(Maester-Aemon),Bowen-Marsh,4,all
46,Aemon-Targaryen-(Maester-Aemon),Chett,9,all
47,Aemon-Targaryen-(Maester-Aemon),Clydas,33,all
48,Aemon-Targaryen-(Maester-Aemon),Cotter-Pyke,3,all
49,Aemon-Targaryen-(Maester-Aemon),Daeron-II-Targaryen,3,all
50,Aemon-Targaryen-(Maester-Aemon),Dareon,5,all
51,Aemon-Targaryen-(Maester-Aemon),Denys-Mallister,4,all
52,Aemon-Targaryen-(Maester-Aemon),Donal-Noye,11,all
53,Aemon-Targaryen-(Maester-Aemon),Eddison-Tollett,3,all
54,Aemon-Targaryen-(Maester-Aemon),Gilly,20,all
55,Aemon-Targaryen-(Maester-Aemon),Grenn,5,all
56,Aemon-Targaryen-(Maester-Aemon),Hobb,3,all
57,Aemon-Targaryen-(Maester-Aemon),Janos-Slynt,5,all
58,Aemon-Targaryen-(Maester-Aemon),Jeor-Mormont,25,all
59,Aemon-Targaryen-(Maester-Aemon),Jon-Snow,110,all
60,Aemon-Targaryen-(Maester-Aemon),Maekar-I-Targaryen,3,all
61,Aemon-Targaryen-(Maester-Aemon),Mance-Rayder,5,all
62,Aemon-Targaryen-(Maester-Aemon),Owen,3,all
63,Aemon-Targaryen-(Maester-Aemon),Pypar,5,all
64,Aemon-Targaryen-(Maester-Aemon),Robert-Baratheon,5,all
65,Aemon-Targaryen-(Maester-Aemon),Samwell-Tarly,99,all
66,Aemon-Targaryen-(Maester-Aemon),Stannis-Baratheon,12,all
67,Aemon-Targaryen-(Maester-Aemon),Wynton-Stout,3,all
68,Aenys-Frey,Arya-Stark,6,all
69,Aenys-Frey,Hosteen-Frey,6,all
70,Aenys-Frey,Theon-Greyjoy,3,all
71,Aenys-Frey,Wyman-Manderly,4,all
72,Aeron-Greyjoy,Asha-Greyjoy,7,all
73,Aeron-Greyjoy,Baelor-Blacktyde,4,all
74,Aeron-Greyjoy,Balon-Greyjoy,17,all
75,Aeron-Greyjoy,Dagmer,5,all
76,Aeron-Greyjoy,Dunstan-Drumm,4,all
77,Aeron-Greyjoy,Emmond,4,all
78,Aeron-Greyjoy,Euron-Greyjoy,27,all
79,Aeron-Greyjoy,Gormond-Goodbrother,6,all
80,Aeron-Greyjoy,Gorold-Goodbrother,10,all
81,Aeron-Greyjoy,Greydon-Goodbrother,4,all
82,Aeron-Greyjoy,Meldred-Merlyn,7,all
83,Aeron-Greyjoy,Murenmure,11,all
84,Aeron-Greyjoy,Rus,5,all
85,Aeron-Greyjoy,Theon-Greyjoy,20,all
86,Aeron-Greyjoy,Victarion-Greyjoy,20,all
87,Aerys-I-Targaryen,Robert-Baratheon,3,all
88,Aerys-II-Targaryen,Arthur-Dayne,5,all
89,Aerys-II-Targaryen,Barristan-Selmy,4,all
90,Aerys-II-Targaryen,Brandon-Stark,4,all
91,Aerys-II-Targaryen,Brienne-of-Tarth,3,all
92,Aerys-II-Targaryen,Cersei-Lannister,3,all
93,Aerys-II-Targaryen,Denys-Darklyn,4,all
94,Aerys-II-Targaryen,Eddard-Stark,15,all
95,Aerys-II-Targaryen,Elbert-Arryn,3,all
96,Aerys-II-Targaryen,Gerold-Hightower,3,all
97,Aerys-II-Targaryen,Jaime-Lannister,37,all
98,Aerys-II-Targaryen,Joffrey-Baratheon,6,all
99,Aerys-II-Targaryen,Jon-Arryn,3,all
100,Aerys-II-Targaryen,Owen-Merryweather,3,all
101,Aerys-II-Targaryen,Rhaegar-Targaryen,14,all
102,Aerys-II-Targaryen,Robert-Baratheon,35,all
103,Aerys-II-Targaryen,Rossart,4,all
104,Aerys-II-Targaryen,Tyrion-Lannister,9,all
105,Aerys-II-Targaryen,Tywin-Lannister,26,all
106,Aerys-II-Targaryen,Viserys-Targaryen,3,all
107,Aggar,Gariss,3,all
108,Aggar,Gelmarr,3,all
109,Aggar,Gynir,3,all
110,Aggar,Ramsay-Snow,4,all
111,Aggo,Barristan-Selmy,3,all
112,Aggo,Belwas,3,all
113,Aggo,Daario-Naharis,4,all
114,Aggo,Daenerys-Targaryen,30,all
115,Aggo,Drogo,6,all
116,Aggo,Grey-Worm,5,all
117,Aggo,Jhogo,26,all
118,Aggo,Jorah-Mormont,9,all
119,Aggo,Quaro,3,all
120,Aggo,Rakharo,23,all
121,Alayaya,Bronn,3,all
122,Alayaya,Cersei-Lannister,3,all
123,Alayaya,Dancy,3,all
124,Alayaya,Tyrion-Lannister,7,all
125,Albett,Halder,3,all
126,Albett,Jon-Snow,5,all
127,Albett,Rast,3,all
128,Alebelly,Bran-Stark,7,all
129,Alebelly,Hayhead,3,all
130,Alebelly,Jojen-Reed,6,all
131,Alebelly,Mikken,3,all
132,Alerie-Hightower,Mace-Tyrell,3,all
133,Alerie-Hightower,Margaery-Tyrell,3,all
134,Alester-Florent,Axell-Florent,4,all
135,Alester-Florent,Cortnay-Penrose,4,all
136,Alester-Florent,Davos-Seaworth,14,all
137,Alester-Florent,Lamprey,3,all
138,Alester-Florent,Renly-Baratheon,3,all
139,Alester-Florent,Selyse-Florent,4,all
140,Alester-Florent,Stannis-Baratheon,9,all
141,Alla-Tyrell,Elinor-Tyrell,13,all
142,Alla-Tyrell,Margaery-Tyrell,7,all
143,Alla-Tyrell,Megga-Tyrell,16,all
144,Alla-Tyrell,Osney-Kettleblack,3,all
145,Alla-Tyrell,Sansa-Stark,4,all
146,Allar-Deem,Janos-Slynt,3,all
147,Allar-Deem,Tyrion-Lannister,4,all
148,Allard-Seaworth,Davos-Seaworth,5,all
149,Allard-Seaworth,Marya-Seaworth,5,all
150,Allard-Seaworth,Stannis-Baratheon,3,all
151,Alleras,Armen,5,all
152,Alleras,Leo-Tyrell,7,all
153,Alleras,Marwyn,3,all
154,Alleras,Mollander,7,all
155,Alleras,Pate-(novice),8,all
156,Alleras,Roone,6,all
157,Alleras,Samwell-Tarly,8,all
158,Alliser-Thorne,Bowen-Marsh,3,all
159,Alliser-Thorne,Grenn,3,all
160,Alliser-Thorne,Halder,4,all
161,Alliser-Thorne,Janos-Slynt,13,all
162,Alliser-Thorne,Jeor-Mormont,13,all
163,Alliser-Thorne,Joffrey-Baratheon,4,all
164,Alliser-Thorne,Jon-Snow,63,all
165,Alliser-Thorne,Mance-Rayder,6,all
166,Alliser-Thorne,Pypar,4,all
167,Alliser-Thorne,Qhorin-Halfhand,4,all
168,Alliser-Thorne,Rast,5,all
169,Alliser-Thorne,Samwell-Tarly,12,all
170,Alliser-Thorne,Stannis-Baratheon,3,all
171,Alliser-Thorne,Tyrion-Lannister,15,all
172,Alyn,Eddard-Stark,11,all
173,Alyn,Harwin,6,all
174,Alyn,Jory-Cassel,8,all
175,Alyn,Robert-Baratheon,4,all
176,Alyn,Tomard,3,all
177,Alys-Arryn,Elys-Waynwood,4,all
178,Alys-Arryn,Jon-Arryn,3,all
179,Alys-Karstark,Jon-Snow,13,all
180,Alys-Karstark,Melisandre,6,all
181,Alys-Karstark,Sigorn,5,all
182,Alysane-Mormont,Asha-Greyjoy,18,all
183,Alysane-Mormont,Justin-Massey,5,all
184,Alysane-Mormont,Stannis-Baratheon,5,all
185,Amabel,Arya-Stark,6,all
186,Amabel,Harra,4,all
187,Amerei-Frey,Jaime-Lannister,6,all
188,Amerei-Frey,Lancel-Lannister,10,all
189,Amerei-Frey,Lyle-Crakehall,4,all
190,Amory-Lorch,Arya-Stark,9,all
191,Amory-Lorch,Cersei-Lannister,4,all
192,Amory-Lorch,Chiswyck,4,all
193,Amory-Lorch,Dunsen,3,all
194,Amory-Lorch,Gendry,3,all
195,Amory-Lorch,Gregor-Clegane,10,all
196,Amory-Lorch,Hot-Pie,3,all
197,Amory-Lorch,Ilyn-Payne,4,all
198,Amory-Lorch,Jaime-Lannister,3,all
199,Amory-Lorch,Joffrey-Baratheon,7,all
200,Amory-Lorch,Meryn-Trant,5,all
201,Amory-Lorch,Oberyn-Martell,6,all
202,Amory-Lorch,Polliver,3,all
203,Amory-Lorch,Rafford,5,all
204,Amory-Lorch,Roose-Bolton,3,all
205,Amory-Lorch,Sandor-Clegane,5,all
206,Amory-Lorch,Tickler,5,all
207,Amory-Lorch,Tywin-Lannister,8,all
208,Amory-Lorch,Vargo-Hoat,10,all
209,Amory-Lorch,Yoren,5,all
210,Anders-Yronwood,Oberyn-Martell,3,all
211,Anders-Yronwood,Quentyn-Martell,4,all
212,Andrew-Estermont,Davos-Seaworth,4,all
213,Andrew-Estermont,Edric-Storm,4,all
214,Andrew-Estermont,Gerald-Gower,3,all
215,Andrey-Dalt,Arianne-Martell,10,all
216,Andrey-Dalt,Garin-(orphan),11,all
217,Andrey-Dalt,Myrcella-Baratheon,4,all
218,Andrey-Dalt,Sylva-Santagar,8,all
219,Andrey-Dalt,Tyene-Sand,4,all
220,Anguy,Arya-Stark,15,all
221,Anguy,Beric-Dondarrion,4,all
222,Anguy,Greenbeard,9,all
223,Anguy,Harwin,7,all
224,Anguy,Husband,3,all
225,Anguy,Lem,22,all
226,Anguy,Sandor-Clegane,3,all
227,Anguy,Sharna,6,all
228,Anguy,Tom-of-Sevenstreams,12,all
229,Anya-Waynwood,Benedar-Belmore,4,all
230,Anya-Waynwood,Gilwood-Hunter,6,all
231,Anya-Waynwood,Harrold-Hardyng,6,all
232,Anya-Waynwood,Horton-Redfort,7,all
233,Anya-Waynwood,Petyr-Baelish,10,all
234,Anya-Waynwood,Symond-Templeton,6,all
235,Anya-Waynwood,Yohn-Royce,5,all
236,Archibald-Yronwood,Cletus-Yronwood,5,all
237,Archibald-Yronwood,Gerris-Drinkwater,13,all
238,Archibald-Yronwood,Quentyn-Martell,21,all
239,Archibald-Yronwood,Tattered-Prince,4,all
240,Ardrian-Celtigar,Monford-Velaryon,5,all
241,Areo-Hotah,Arianne-Martell,28,all
242,Areo-Hotah,Arys-Oakheart,11,all
243,Areo-Hotah,Balon-Swann,4,all
244,Areo-Hotah,Caleotte,7,all
245,Areo-Hotah,Doran-Martell,44,all
246,Areo-Hotah,Ellaria-Sand,3,all
247,Areo-Hotah,Myrcella-Baratheon,5,all
248,Areo-Hotah,Obara-Sand,13,all
