id,label,house
Addam-Marbrand,Addam Marbrand,Misc
Aegon-Frey-(son-of-Stevron),Aegon Frey (son of Stevron),Misc
Aegon-I-Targaryen,Aegon I Targaryen,Targaryen
Aegon-Targaryen-(son-of-Rhaegar),Aegon Targaryen (son of Rhaegar),Targaryen
Aegon-V-Targaryen,Aegon V Targaryen,Targaryen
Aemon-Targaryen-(Dragonknight),Aemon Targaryen (Dragonknight),Targaryen
Aemon-Targaryen-(Maester-Aemon),Aemon Targaryen (Maester Aemon),Targaryen
Aenys-Frey,Aenys Frey,Misc
Aeron-Greyjoy,Aeron Greyjoy,Greyjoy
Aerys-I-Targaryen,Aerys I Targaryen,Targaryen
Aerys-II-Targaryen,Aerys II Targaryen,Targaryen
Aggar,Aggar,Misc
Aggo,Aggo,Misc
Alayaya,Alayaya,Misc
Albett,Albett,Misc
Alebelly,Alebelly,Misc
Alerie-Hightower,Alerie Hightower,Misc
Alester-Florent,Alester Florent,Misc
Alla-Tyrell,Alla Tyrell,Misc
Allar-Deem,Allar Deem,Misc
Allard-Seaworth,Allard Seaworth,Misc
Alleras,Alleras,Misc
Alliser-Thorne,Alliser Thorne,Misc
Alyn,Alyn,Misc
Alys-Arryn,Alys Arryn,Arryn
Alys-Karstark,Alys Karstark,Misc
Alysane-Mormont,Alysane Mormont,Misc
Amabel,Amabel,Misc
Amerei-Frey,Amerei Frey,Misc
Amory-Lorch,Amory Lorch,Misc
Anders-Yronwood,Anders Yronwood,Misc
Andrew-Estermont,Andrew Estermont,Misc
Andrey-Dalt,Andrey Dalt,Misc
Anguy,Anguy,Misc
Anya-Waynwood,Anya Waynwood,Misc
Archibald-Yronwood,Archibald Yronwood,Misc
Ardrian-Celtigar,Ardrian Celtigar,Misc
Areo-Hotah,Areo Hotah,Misc
Arianne-Martell,Arianne Martell,Martell
Armen,Armen,Misc
Arnolf-Karstark,Arnolf Karstark,Misc
Aron-Santagar,Aron Santagar,Misc
Arron,Arron,Misc
Arson,Arson,Misc
Arstan,Arstan,Misc
Arthor-Karstark,Arthor Karstark,Misc
Arthur-Dayne,Arthur Dayne,Misc
Arwyn-Oakheart,Arwyn Oakheart,Misc
Arya-Stark,Arya Stark,Stark
Arys-Oakheart,Arys Oakheart,Misc
Asha-Greyjoy,Asha Greyjoy,Greyjoy
Ashara-Dayne,Ashara Dayne,Misc
Aurane-Waters,Aurane Waters,Misc
Axell-Florent,Axell Florent,Misc
Azor-Ahai,Azor Ahai,Misc
Bael-the-Bard,Bael the Bard,Misc
Baelor-Blacktyde,Baelor Blacktyde,Misc
Baelor-I-Targaryen,Baelor I Targaryen,Targaryen
Ballabar,Ballabar,Misc
Balman-Byrch,Balman Byrch,Misc
Balon-Greyjoy,Balon Greyjoy,Greyjoy
Balon-Swann,Balon Swann,Misc
Bannen,Bannen,Misc
Barbrey-Dustin,Barbrey Dustin,Misc
Barristan-Selmy,Barristan Selmy,Misc
Barsena,Barsena,Misc
Bartimus,Bartimus,Misc
Bedwyck,Bedwyck,Misc
Belaquo,Belaquo,Misc
Bellegere-Otherys,Bellegere Otherys,Misc
Belwas,Belwas,Misc
Ben-Bones,Ben Bones,Misc
Ben-Plumm,Ben Plumm,Misc
Benedar-Belmore,Benedar Belmore,Misc
Benerro,Benerro,Misc
Benethon-Scales,Benethon Scales,Misc
Benfred-Tallhart,Benfred Tallhart,Misc
Benjen-Stark,Benjen Stark,Stark
Beric-Dondarrion,Beric Dondarrion,Misc
Beth-Cassel,Beth Cassel,Misc
Big-Boil,Big Boil,Misc
Biter,Biter,Misc
Black-Balaq,Black Balaq,Misc
Blane,Blane,Misc
Bloodbeard,Bloodbeard,Misc
Blue-Bard,Blue Bard,Misc
Bonifer-Hasty,Bonifer Hasty,Misc
Boros-Blount,Boros Blount,Misc
Bowen-Marsh,Bowen Marsh,Misc
Bran-Stark,Bran Stark,Stark
Brandon-Norrey,Brandon Norrey,Misc
Brandon-Stark,Brandon Stark,Stark
Brea,Brea,Misc
Brella,Brella,Misc
Brenett,Brenett,Misc
Brienne-of-Tarth,Brienne of Tarth,Misc
Bronn,Bronn,Misc
Brus-Buckler,Brus Buckler,Misc
Brusco,Brusco,Misc
Bryce-Caron,Bryce Caron,Misc
Brynden-Rivers,Brynden Rivers,Misc
Brynden-Tully,Brynden Tully,Tully
Bump,Bump,Misc
Butterbumps,Butterbumps,Misc
Byam-Flint,Byam Flint,Misc
Caggo,Caggo,Misc
Caleotte,Caleotte,Misc
Camarron,Camarron,Misc
Captain-Myraham,Captain Myraham,Misc
Captain-Myraham-Daughter,Captain Myraham Daughter,Misc
Catelyn-Stark,Catelyn Stark,Stark
Cayn,Cayn,Misc
Cedra,Cedra,Misc
Cedric-Payne,Cedric Payne,Misc
Cellador,Cellador,Misc
Cersei-Lannister,Cersei Lannister,Lannister
Chataya,Chataya,Misc
Chayle,Chayle,Misc
Chella,Chella,Misc
Chett,Chett,Misc
Chiggen,Chiggen,Misc
Chiswyck,Chiswyck,Misc
Clarence-Crabb,Clarence Crabb,Misc
Clayton-Suggs,Clayton Suggs,Misc
Clement-Piper,Clement Piper,Misc
Cleon,Cleon,Misc
Cleos-Frey,Cleos Frey,Misc
Cletus-Yronwood,Cletus Yronwood,Misc
Cley-Cerwyn,Cley Cerwyn,Misc
Clubfoot-Karl,Clubfoot Karl,Misc
Clydas,Clydas,Misc
Cohollo,Cohollo,Misc
Coldhands,Coldhands,Misc
Colemon,Colemon,Misc
Colen-of-Greenpools,Colen of Greenpools,Misc
Conn,Conn,Misc
Coratt,Coratt,Misc
Corliss-Penny,Corliss Penny,Misc
Cortnay-Penrose,Cortnay Penrose,Misc
Cotter-Pyke,Cotter Pyke,Misc
Craster,Craster,Misc
Creighton-Longbough,Creighton Longbough,Misc
Cressen,Cressen,Misc
Cromm,Cromm,Misc
Cutjack,Cutjack,Misc
Daario-Naharis,Daario Naharis,Misc
Dacey-Mormont,Dacey Mormont,Misc
Daemon-Sand,Daemon Sand,Misc
Daenerys-Targaryen,Daenerys Targaryen,Targaryen
Daeron-I-Targaryen,Daeron I Targaryen,Targaryen
Daeron-II-Targaryen,Daeron II Targaryen,Targaryen
Dagmer,Dagmer,Misc
Dalbridge,Dalbridge,Misc
Dalla,Dalla,Misc
Damon-Dance-for-Me,Damon Dance for Me,Misc
Dancy,Dancy,Misc
Danwell-Frey,Danwell Frey,Misc
Dareon,Dareon,Misc
Daryn-Hornwood,Daryn Hornwood,Misc
Daven-Lannister,Daven Lannister,Lannister
Davos-Seaworth,Davos Seaworth,Misc
Denyo-Terys,Denyo Terys,Misc
Denys-Darklyn,Denys Darklyn,Misc
Denys-Mallister,Denys Mallister,Misc
Denzo-Dhan,Denzo Dhan,Misc
Desmond,Desmond,Misc
Desmond-Grell,Desmond Grell,Misc
Devan-Seaworth,Devan Seaworth,Misc
Dick-Crabb,Dick Crabb,Misc
Dick-Follard,Dick Follard,Misc
Dick-Straw,Dick Straw,Misc
Dirk,Dirk,Misc
Dobber,Dobber,Misc
Dolf,Dolf,Misc
Donal-Noye,Donal Noye,Misc
Donella-Hornwood,Donella Hornwood,Misc
Donnel-Waynwood,Donnel Waynwood,Misc
Dontos-Hollard,Dontos Hollard,Misc
Doran-Martell,Doran Martell,Martell
Dorcas,Dorcas,Misc
Doreah,Doreah,Misc
Draqaz,Draqaz,Misc
Drennan,Drennan,Misc
Drogo,Drogo,Misc
Dryn,Dryn,Misc
