id,label,house
Aegon-I-Targaryen,Aegon I,Targaryen
Aegon-V-Targaryen,Aegon V,Targaryen
Aemon-Targaryen-(Maester-Aemon),Maester Aemon,Targaryen
Aenys-Frey,Aenys Frey,Misc
Aeron-Greyjoy,Aeron Greyjoy,Greyjoy
Aerys-I-Targaryen,Aerys I,Targaryen
Aerys-II-Targaryen,Aerys II,Targaryen
Aggar,Aggar,Misc
Aggo,Aggo,Misc
Alayaya,Alayaya,Misc
Alebelly,Alebelly,Misc
Alester-Florent,Alester Florent,Misc
Allar-Deem,Allar Deem,Misc
Allard-Seaworth,Allard Seaworth,Misc
Alliser-Thorne,Alliser Thorne,Misc
Amabel,Amabel,Misc
Amory-Lorch,Amory Lorch,Misc
Ardrian-Celtigar,Ardrian Celtigar,Misc
Aron-Santagar,Aron Santagar,Misc
Arwyn-Oakheart,Arwyn Oakheart,Misc
Arya-Stark,Arya,Stark
Arys-Oakheart,Arys Oakheart,Misc
Asha-Greyjoy,Asha Greyjoy,Greyjoy
Axell-Florent,Axell Florent,Misc
Bael-the-Bard,Bael the Bard,Misc
Ballabar,Ballabar,Misc
Balon-Greyjoy,Balon Greyjoy,Greyjoy
Balon-Swann,Balon ,Misc
Barristan-Selmy,Barristan Selmy,Misc
Belwas,Belwas,Misc
Benfred-Tallhart,Benfred Tallhart,Misc
Benjen-Stark,Benjen Stark,Stark
Beric-Dondarrion,Beric Dondarrion,Misc
Beth-Cassel,Beth Cassel,Misc
Biter,Biter,Misc
Boros-Blount,Boros Blount,Misc
Bran-Stark,Bran,Stark
Brienne-of-Tarth,Brienne,Misc
Bronn,Bronn,Misc
Bryce-Caron,Bryce Caron,Misc
Brynden-Tully,Brynden Tully,Tully
Captain-Myraham,Captain Myraham,Misc
Captain-Myraham-Daughter,Myraham's Daughter,Misc
Catelyn-Stark,Catelyn,Stark
Cersei-Lannister,Cersei,Lannister
Chataya,Chataya,Misc
Chayle,Chayle,Misc
Chella,Chella,Misc
Chett,Chett,Misc
Chiswyck,Chiswyck,Misc
Cleos-Frey,Cleos Frey,Misc
Cley-Cerwyn,Cley Cerwyn,Misc
Colen-of-Greenpools,Colen of Greenpools,Misc
Cortnay-Penrose,Cortnay Penrose,Misc
Craster,Craster,Misc
Cressen,Cressen,Misc
Cutjack,Cutjack,Misc
Daenerys-Targaryen,Daenerys,Targaryen
Daeron-II-Targaryen,Daeron II,Targaryen
Dagmer,Dagmer,Misc
Dalbridge,Dalbridge,Misc
Dancy,Dancy,Misc
Davos-Seaworth,Davos,Misc
Desmond-Grell,Desmond-Grell,Misc
Devan-Seaworth,Devan Seaworth,Misc
Dobber,Dobber,Misc
Dolf,Dolf,Misc
Donella-Hornwood,Donella Hornwood,Misc
Dontos-Hollard,Dontos Hollard,Misc
Doran-Martell,Doran Martell,Martell
Doreah,Doreah,Misc
Drennan,Drennan,Misc
Drogo,Drogo,Misc
Dunsen,Dunsen,Misc
Dywen,Dywen,Misc
Ebben,Ebben,Misc
Eddard-Stark,Ned,Stark
Eddison-Tollett,Eddison Tollett,Misc
Edmure-Tully,Edmure Tully,Tully
Eldon-Estermont,Eldon Estermont,Misc
Emmon-Cuy,Emmon Cuy,Misc
Euron-Greyjoy,Euron Greyjoy,Greyjoy
Farlen,Farlen,Misc
Florian-the-Fool,Florian the Fool,Misc
Gariss,Gariss,Misc
Garlan-Tyrell,Garlan Tyrell,Tyrell
Gelmarr,Gelmarr,Misc
Gendry,Gendry,Misc
Gregor-Clegane,Gregor Clegane,Misc
Grenn,Grenn,Misc
Guyard-Morrigen,Guyard Morrigen,Misc
Gyles-Rosby,Gyles Rosby,Misc
Gynir,Gynir,Misc
Hake,Hake,Misc
Hallis-Mollen,Hallis Mollen,Misc
Hallyne,Hallyne,Misc
Halys-Hornwood,Halys Hornwood,Misc
Harra,Harra,Misc
Harren-Hoare,Harren Hoare,Misc
Hayhead,Hayhead,Misc
Helman-Tallhart,Helman Tallhart,Misc
High-Septon-(fat_one),High Septon (fat one),Misc
High-Septon-(Tyrions),Tyrion's High Septon,Misc
Hobber-Redwyne,Hobber Redwyne,Misc
Hodor,Hodor,Misc
Horas-Redwyne,Horas Redwyne,Misc
Hoster-Tully,Hoster Tully,Tully
Hot-Pie,Hot-Pie,Misc
Howland-Reed,Howland Reed,Misc
Ilyn-Payne,Ilyn Payne,Misc
Imry-Florent,Imry Florent,Misc
Irri,Irri,Misc
Jacelyn-Bywater,Jacelyn Bywater,Misc
Jaime-Lannister,Jaime,Lannister
Janos-Slynt,Janos Slynt,Misc
Jaqen-Hghar,Jaqen H'ghar,Misc
Jaremy-Rykker,Jaremy Rykker,Misc
Jarman-Buckwell,Jarman Buckwell,Misc
Jason-Mallister,Jason Mallister,Misc
Jeor-Mormont,Jeor,Misc
Jhiqui,Jhiqui,Misc
Jhogo,Jhogo,Misc
Joffrey-Baratheon,Joffrey,Baratheon
Jojen-Reed,Jojen,Misc
Jon-Fossoway,Jon Fossoway,Misc
Jon-Snow,Jon,Stark
Jon-Umber-(Greatjon),Greatjon,Misc
Jonquil,Jonquil,Misc
Jorah-Mormont,Jorah,Misc
Koss,Koss,Misc
Kurz,Kurz,Misc
Kyra,Kyra,Misc
Lancel-Lannister,Lancel Lannister,Lannister
Lark,Lark,Misc
Leobald-Tallhart,Leobald Tallhart,Misc
Lollys-Stokeworth,Lollys Stokeworth,Misc
Lommy-Greenhands,Lommy Greenhands,Misc
Loras-Tyrell,Loras Tyrell,Tyrell
Lorent-Caswell,Lorent Caswell,Misc
Lorren,Lorren,Misc
Luwin,Luwin,Misc
Lynesse-Hightower,Lynesse Hightower,Misc
Lysa-Arryn,Lysa Arryn,Arryn
Mace-Tyrell,Mace Tyrell,Tyrell
Maekar-I-Targaryen,Maekar I,Targaryen
Mance-Rayder,Mance Rayder,Misc
Mandon-Moore,Mandon Moore,Misc
Margaery-Tyrell,Margaery,Tyrell
Maron-Greyjoy,Maron Greyjoy,Greyjoy
Martyn-Rivers,Martyn Rivers,Misc
Marya-Seaworth,Marya Seaworth,Misc
Mathis-Rowan,Mathis Rowan,Misc
Matthos-Seaworth,Matthos Seaworth,Misc
Mebble,Mebble,Misc
Meera-Reed,Meera,Misc
Melisandre,Melisandre,Misc
Meryn-Trant,Meryn Trant,Misc
Mikken,Mikken,Misc
Mirri-Maz-Duur,Mirri Maz Duur,Misc
Monford-Velaryon,Monford Velaryon,Misc
Moon-Boy,Moon Boy,Misc
Mors-Umber,Mors Umber,Misc
Murch,Murch,Misc
Myrcella-Baratheon,Myrcella,Baratheon
Nan,Nan,Misc
Olyvar-Frey,Olyvar Frey,Misc
Osfryd-Kettleblack,Osfryd Kettleblack,Misc
Osha,Osha,Misc
Osmund-Kettleblack,Osmund Kettleblack,Misc
Osney-Kettleblack,Osney Kettleblack,Misc
Ottyn-Wythers,Ottyn Wythers,Misc
Palla,Palla,Misc
Patchface,Patchface,Misc
Paxter-Redwyne,Paxter Redwyne,Misc
Perwyn-Frey,Perwyn Frey,Misc
Petyr-Baelish,Littlefinger,Misc
Podrick-Payne,Podrick Payne,Misc
Polliver,Polliver,Misc
Pono,Pono,Misc
Poxy-Tym,Poxy Tym,Misc
Praed,Praed,Misc
Preston-Greenfield,Preston Greenfield,Misc
Pyat-Pree,Pyat Pree,Misc
Pycelle,Pycelle,Misc
Pylos,Pylos,Misc
Qhorin-Halfhand,Qhorin Halfhand,Misc
Quaithe,Quaithe,Misc
Qyburn,Qyburn,Misc
Rafford,Rafford,Misc
Rakharo,Rakharo,Misc
Ramsay-Snow,Ramsay Snow,Misc
Randyll-Tarly,Randyll Tarly,Misc
Rattleshirt,Rattleshirt,Misc
Reek,Reek,Misc
Renly-Baratheon,Renly,Baratheon
Rhaegar-Targaryen,Rhaegar,Targaryen
Rhaenys-Targaryen,Rhaenys Targaryen,Targaryen
Rickard-Karstark,Rickard Karstark,Misc
Rickon-Stark,Rickon Stark,Stark
Robar-Royce,Robar Royce,Misc
Robb-Stark,Robb,Stark
Robert-Arryn,Robert Arryn,Arryn
Robert-Baratheon,Robert,Baratheon
Robett-Glover,Robett Glover,Misc
Rodrik-Cassel,Rodrik Cassel,Misc
Roose-Bolton,Roose Bolton,Misc
Rorge,Rorge,Misc
