interaction_id,source,target,weight,book
1,Addam-Marbrand,Gyles-Rosby,3,3
2,Addam-Marbrand,Jaime-Lannister,3,3
3,Addam-Marbrand,Jalabhar-Xho,3,3
4,Addam-Marbrand,Joffrey-Baratheon,3,3
5,Addam-Marbrand,Kevan-Lannister,3,3
6,Addam-Marbrand,Oberyn-Martell,3,3
7,Addam-Marbrand,Tyrion-Lannister,7,3
8,Addam-Marbrand,Varys,4,3
9,Aegon-Frey-(son-of-Stevron),Catelyn-Stark,4,3
10,Aegon-Frey-(son-of-Stevron),Robb-Stark,5,3
11,Aegon-Frey-(son-of-Stevron),Stevron-Frey,3,3
12,Aegon-Frey-(son-of-Stevron),Walder-Frey,6,3
13,Aegon-I-Targaryen,Daenerys-Targaryen,4,3
14,Aegon-I-Targaryen,Stannis-Baratheon,4,3
15,Aegon-I-Targaryen,Torrhen-Stark,3,3
16,Aegon-Targaryen-(son-of-Rhaegar),Elia-Martell,3,3
17,Aemon-Targaryen-(Dragonknight),Jaime-Lannister,3,3
18,Aemon-Targaryen-(Maester-Aemon),Alliser-Thorne,3,3
19,Aemon-Targaryen-(Maester-Aemon),Clydas,16,3
20,Aemon-Targaryen-(Maester-Aemon),Cotter-Pyke,3,3
21,Aemon-Targaryen-(Maester-Aemon),Denys-Mallister,4,3
22,Aemon-Targaryen-(Maester-Aemon),Donal-Noye,11,3
23,Aemon-Targaryen-(Maester-Aemon),Eddison-Tollett,3,3
24,Aemon-Targaryen-(Maester-Aemon),Grenn,5,3
25,Aemon-Targaryen-(Maester-Aemon),Hobb,3,3
26,Aemon-Targaryen-(Maester-Aemon),Janos-Slynt,5,3
27,Aemon-Targaryen-(Maester-Aemon),Jeor-Mormont,3,3
28,Aemon-Targaryen-(Maester-Aemon),Jon-Snow,36,3
29,Aemon-Targaryen-(Maester-Aemon),Mance-Rayder,5,3
30,Aemon-Targaryen-(Maester-Aemon),Owen,3,3
31,Aemon-Targaryen-(Maester-Aemon),Pypar,5,3
32,Aemon-Targaryen-(Maester-Aemon),Robert-Baratheon,5,3
33,Aemon-Targaryen-(Maester-Aemon),Samwell-Tarly,32,3
34,Aemon-Targaryen-(Maester-Aemon),Stannis-Baratheon,9,3
35,Aemon-Targaryen-(Maester-Aemon),Wynton-Stout,3,3
36,Aerys-II-Targaryen,Arthur-Dayne,5,3
37,Aerys-II-Targaryen,Brienne-of-Tarth,3,3
38,Aerys-II-Targaryen,Jaime-Lannister,22,3
39,Aerys-II-Targaryen,Joffrey-Baratheon,6,3
40,Aerys-II-Targaryen,Robert-Baratheon,9,3
41,Aerys-II-Targaryen,Rossart,4,3
42,Aerys-II-Targaryen,Tyrion-Lannister,6,3
43,Aerys-II-Targaryen,Tywin-Lannister,10,3
44,Aerys-II-Targaryen,Viserys-Targaryen,3,3
45,Aggo,Jhogo,4,3
46,Aggo,Rakharo,3,3
47,Alayaya,Bronn,3,3
48,Alayaya,Cersei-Lannister,3,3
49,Alayaya,Tyrion-Lannister,4,3
50,Alerie-Hightower,Mace-Tyrell,3,3
51,Alerie-Hightower,Margaery-Tyrell,3,3
52,Alester-Florent,Axell-Florent,4,3
53,Alester-Florent,Davos-Seaworth,11,3
54,Alester-Florent,Lamprey,3,3
55,Alester-Florent,Selyse-Florent,4,3
56,Alester-Florent,Stannis-Baratheon,4,3
57,Alla-Tyrell,Elinor-Tyrell,5,3
58,Alla-Tyrell,Megga-Tyrell,6,3
59,Alla-Tyrell,Sansa-Stark,4,3
60,Alliser-Thorne,Janos-Slynt,13,3
61,Alliser-Thorne,Jon-Snow,22,3
62,Alliser-Thorne,Mance-Rayder,6,3
63,Alliser-Thorne,Qhorin-Halfhand,4,3
64,Alliser-Thorne,Samwell-Tarly,4,3
65,Alliser-Thorne,Stannis-Baratheon,3,3
66,Amory-Lorch,Gregor-Clegane,3,3
67,Amory-Lorch,Jaime-Lannister,3,3
68,Amory-Lorch,Oberyn-Martell,6,3
69,Amory-Lorch,Tywin-Lannister,4,3
70,Amory-Lorch,Vargo-Hoat,3,3
71,Anders-Yronwood,Oberyn-Martell,3,3
72,Andrew-Estermont,Davos-Seaworth,4,3
73,Andrew-Estermont,Edric-Storm,4,3
74,Andrew-Estermont,Gerald-Gower,3,3
75,Anguy,Arya-Stark,15,3
76,Anguy,Beric-Dondarrion,4,3
77,Anguy,Greenbeard,9,3
78,Anguy,Harwin,7,3
79,Anguy,Husband,3,3
80,Anguy,Lem,22,3
81,Anguy,Sandor-Clegane,3,3
82,Anguy,Sharna,6,3
83,Anguy,Tom-of-Sevenstreams,12,3
84,Arson,Jon-Snow,3,3
85,Arstan,Belwas,25,3
86,Arstan,Daenerys-Targaryen,29,3
87,Arstan,Illyrio-Mopatis,3,3
88,Arstan,Jhiqui,3,3
89,Arstan,Jorah-Mormont,13,3
90,Arstan,Kraznys-mo-Nakloz,3,3
91,Arstan,Mero,7,3
92,Arstan,Rhaegar-Targaryen,7,3
93,Arthur-Dayne,Gerold-Hightower,5,3
94,Arthur-Dayne,Lewyn-Martell,3,3
95,Arthur-Dayne,Rhaegar-Targaryen,3,3
96,Arthur-Dayne,Smiling-Knight,4,3
97,Arya-Stark,Beric-Dondarrion,23,3
98,Arya-Stark,Bran-Stark,9,3
99,Arya-Stark,Brynden-Tully,4,3
100,Arya-Stark,Catelyn-Stark,3,3
101,Arya-Stark,Cersei-Lannister,6,3
102,Arya-Stark,Dunsen,3,3
103,Arya-Stark,Eddard-Stark,6,3
104,Arya-Stark,Elmar-Frey,4,3
105,Arya-Stark,Gendry,46,3
106,Arya-Stark,Greenbeard,9,3
107,Arya-Stark,Gregor-Clegane,6,3
108,Arya-Stark,Harwin,17,3
109,Arya-Stark,Hot-Pie,25,3
110,Arya-Stark,Ilyn-Payne,3,3
111,Arya-Stark,Jaime-Lannister,10,3
112,Arya-Stark,Joffrey-Baratheon,10,3
113,Arya-Stark,Jon-Snow,9,3
114,Arya-Stark,Lem,24,3
115,Arya-Stark,Mad-Huntsman,4,3
116,Arya-Stark,Meryn-Trant,3,3
117,Arya-Stark,Mycah,6,3
118,Arya-Stark,Nan,7,3
119,Arya-Stark,Pate-(Old),4,3
120,Arya-Stark,Polliver,11,3
121,Arya-Stark,Rafford,5,3
122,Arya-Stark,Ravella-Swann,7,3
123,Arya-Stark,Rickon-Stark,8,3
124,Arya-Stark,Robb-Stark,14,3
125,Arya-Stark,Robert-Baratheon,5,3
126,Arya-Stark,Roose-Bolton,8,3
127,Arya-Stark,Sandor-Clegane,48,3
128,Arya-Stark,Sansa-Stark,23,3
129,Arya-Stark,Thoros-of-Myr,21,3
130,Arya-Stark,Tickler,5,3
131,Arya-Stark,Tom-of-Sevenstreams,24,3
132,Arya-Stark,Tyrion-Lannister,7,3
133,Axell-Florent,Davos-Seaworth,21,3
134,Axell-Florent,Lamprey,5,3
135,Axell-Florent,Melisandre,4,3
136,Axell-Florent,Porridge,5,3
137,Axell-Florent,Salladhor-Saan,3,3
138,Axell-Florent,Selyse-Florent,8,3
139,Axell-Florent,Stannis-Baratheon,16,3
140,Azor-Ahai,Stannis-Baratheon,3,3
141,Baelor-I-Targaryen,Cersei-Lannister,3,3
142,Baelor-I-Targaryen,Sansa-Stark,3,3
143,Baelor-I-Targaryen,Tyrion-Lannister,3,3
144,Ballabar,Frenken,4,3
145,Ballabar,Tyrion-Lannister,4,3
146,Balon-Greyjoy,Robb-Stark,6,3
147,Balon-Greyjoy,Stannis-Baratheon,4,3
148,Balon-Greyjoy,Tywin-Lannister,4,3
149,Balon-Swann,Boros-Blount,3,3
150,Balon-Swann,Jaime-Lannister,5,3
151,Balon-Swann,Joffrey-Baratheon,5,3
152,Balon-Swann,Loras-Tyrell,6,3
153,Balon-Swann,Osmund-Kettleblack,3,3
154,Balon-Swann,Tyrion-Lannister,4,3
155,Bannen,Dywen,5,3
156,Bannen,Samwell-Tarly,11,3
157,Barristan-Selmy,Daenerys-Targaryen,5,3
158,Barristan-Selmy,Gerold-Hightower,5,3
159,Barristan-Selmy,Jaime-Lannister,4,3
160,Barristan-Selmy,Jorah-Mormont,5,3
161,Barristan-Selmy,Robert-Baratheon,8,3
162,Bedwyck,Craster,4,3
163,Bedwyck,Dywen,3,3
164,Bedwyck,Eddison-Tollett,4,3
165,Bedwyck,Grenn,4,3
166,Bedwyck,Samwell-Tarly,3,3
167,Belwas,Ben-Plumm,4,3
168,Belwas,Daenerys-Targaryen,28,3
169,Belwas,Illyrio-Mopatis,8,3
170,Belwas,Jhiqui,3,3
171,Belwas,Jorah-Mormont,18,3
172,Belwas,Oznak-zo-Pahl,8,3
173,Ben-Plumm,Daario-Naharis,4,3
174,Ben-Plumm,Daenerys-Targaryen,10,3
175,Benjen-Stark,Bran-Stark,3,3
176,Benjen-Stark,Jeor-Mormont,3,3
177,Benjen-Stark,Jon-Snow,3,3
178,Benjen-Stark,Robert-Baratheon,3,3
179,Beric-Dondarrion,Gendry,4,3
180,Beric-Dondarrion,Gregor-Clegane,3,3
181,Beric-Dondarrion,Harwin,7,3
182,Beric-Dondarrion,Jack-Bulwer,4,3
183,Beric-Dondarrion,Joffrey-Baratheon,3,3
184,Beric-Dondarrion,Lem,14,3
185,Beric-Dondarrion,Sandor-Clegane,15,3
186,Beric-Dondarrion,Thoros-of-Myr,26,3
187,Beric-Dondarrion,Tom-of-Sevenstreams,4,3
188,Big-Boil,Jon-Snow,3,3
189,Big-Boil,Ygritte,3,3
190,Biter,Rorge,3,3
191,Blane,Jeor-Mormont,3,3
192,Boros-Blount,Cersei-Lannister,4,3
193,Boros-Blount,Jaime-Lannister,6,3
194,Boros-Blount,Loras-Tyrell,5,3
195,Boros-Blount,Meryn-Trant,6,3
196,Boros-Blount,Tommen-Baratheon,7,3
197,Boros-Blount,Tyrion-Lannister,6,3
198,Bowen-Marsh,Cotter-Pyke,3,3
199,Bowen-Marsh,Denys-Mallister,5,3
200,Bowen-Marsh,Donal-Noye,4,3
201,Bowen-Marsh,Eddison-Tollett,3,3
202,Bowen-Marsh,Hobb,3,3
203,Bowen-Marsh,Janos-Slynt,10,3
204,Bowen-Marsh,Jeor-Mormont,8,3
205,Bowen-Marsh,Jon-Snow,5,3
206,Bowen-Marsh,Othell-Yarwyck,9,3
207,Bowen-Marsh,Samwell-Tarly,7,3
208,Bran-Stark,Catelyn-Stark,3,3
209,Bran-Stark,Coldhands,4,3
210,Bran-Stark,Eddard-Stark,7,3
211,Bran-Stark,Hodor,71,3
212,Bran-Stark,Joffrey-Baratheon,3,3
213,Bran-Stark,Jojen-Reed,48,3
214,Bran-Stark,Jon-Snow,13,3
215,Bran-Stark,Jon-Umber-(Greatjon),3,3
